Blog	four	here	want	how	series	re	than	and	much	life	things	had	has	right	old	people	for	time	working	such	so	years	course	didn	internet	million	one	open	city	future	say	take	going	where	many	s	being	around	world	her	with	an	as	at	to	th	small	past	full	hours	social	via	more	company	its	always	found	really	number	also	set	see	available	last	d	be	by	anything	into	up	us	ago	having	video	let	great	makes	next	this	high	doing	put	start	system	best	should	email	ve	site	off	web	does	work	could	after	then	them	they	another	what	do	away	we	the	night	post	months	way	was	update	live	can	still	not	now	year	shows	that	online	only	between	these	real	read	using	t	your	lot	you	month	very	a	actually	since	pretty	during	x	probably	both	look	while	used	march	game	some	doesn	go	facebook	camera	control	him	times	data	need	she	i	well	page	twitter	even	new	ever	never	before	better	weeks	seen	don	m	said	three	is	it	in	if	make	just	yet	down	finally	me	did	may	nbsp	thing	think	first	little	were	show	black	get	enough	according	those	different	same	money	again	important	two	coming	through	good	house	idea	part	most	create	fun	source	big	bit	google	back	ll	day	announced	have	like	about	but	under	every	street	would	my	keep	end	over	each	got	free	days	top	too	took	though	pope	however	news	been	search	no	when	says	today	any	come	week	without	blog	on	of	or	there	all	version	rather	might	feel	story	check	his	hit	are	long	called	find	use	from	few	something	our	out	york	their	which	who	why	he	will	gets	other	know	because	getting	own	made	book
Joystiq	0	3	2	5	13	16	12	154	7	1	1	0	21	1	3	5	134	4	3	2	4	1	2	3	2	4	11	5	6	4	4	1	5	4	1	95	3	5	3	0	53	19	44	11	154	0	2	1	5	2	5	2	19	5	15	2	5	2	1	22	2	42	13	5	5	25	19	3	12	15	5	0	1	2	0	2	3	6	82	1	3	1	3	1	0	4	40	6	2	11	0	3	3	2	5	2	3	12	3	11	5	2	28	332	0	0	0	11	14	3	2	13	2	22	22	15	1	56	15	5	4	4	3	0	2	34	21	0	39	2	4	136	1	3	0	1	1	0	6	0	8	1	5	42	7	6	6	6	0	3	2	0	1	3	0	20	7	2	0	7	22	1	5	4	2	0	3	8	8	2	4	80	67	125	17	8	9	1	6	3	5	2	11	160	2	2	2	2	6	2	0	7	7	6	7	6	2	0	2	0	13	5	10	2	0	2	0	1	2	3	11	1	0	0	5	7	3	3	17	14	13	28	4	3	0	6	4	3	2	6	7	1	11	2	1	4	0	9	0	4	4	9	1	12	12	7	11	6	2	8	4	1	162	209	15	9	16	11	0	1	0	5	5	7	1	29	4	4	4	40	26	4	5	43	24	0	11	13	8	4	12	27	3	12	5	6	5	5	4	1
Derek Powazek	0	6	1	7	0	7	2	70	1	5	1	3	5	4	2	2	33	4	0	0	7	5	1	1	1	0	12	1	0	0	3	1	4	0	1	43	0	1	3	9	17	5	10	7	52	0	2	0	1	0	0	0	6	1	1	4	1	2	1	2	0	3	1	7	2	7	5	1	4	11	4	2	0	0	1	5	0	1	9	1	1	1	0	0	1	1	0	11	2	1	1	0	3	1	4	7	2	6	3	9	7	1	7	96	2	3	2	0	13	1	2	8	4	6	9	4	0	19	2	1	4	2	0	0	1	10	6	1	19	0	1	62	0	1	0	0	0	1	2	0	1	1	0	0	3	0	4	0	1	0	2	1	0	1	7	67	2	1	1	1	5	1	3	1	0	2	1	4	12	3	4	17	39	35	9	1	11	1	2	0	15	4	0	0	4	4	3	7	2	3	1	6	5	0	1	0	3	2	2	0	9	1	1	1	0	0	2	2	2	0	0	1	0	0	2	4	2	1	3	9	9	14	1	3	1	0	19	0	0	5	1	1	0	4	2	2	3	0	0	0	1	8	0	2	10	0	2	0	3	3	0	1	14	39	4	6	10	0	0	1	5	3	0	3	1	11	1	0	1	0	5	5	8	3	9	0	4	2	1	1	5	5	2	3	6	3	2	2	2	6
Download Squad	1	9	7	9	1	33	8	221	6	1	2	4	54	10	0	4	174	19	3	5	14	4	4	0	8	0	19	4	0	2	3	6	6	8	6	114	10	7	2	0	60	44	54	38	264	4	3	2	2	0	2	3	24	2	31	2	2	3	5	35	11	51	23	6	3	49	21	3	16	25	5	1	3	8	2	2	1	11	63	0	1	0	3	8	6	11	46	12	2	4	21	5	6	4	20	6	9	11	2	14	13	4	23	388	0	4	12	7	10	8	16	58	19	23	67	5	2	79	1	13	2	8	4	4	16	29	89	6	144	8	5	158	4	8	2	4	7	8	4	4	14	1	0	1	14	4	7	8	0	2	1	2	1	3	0	13	13	11	2	13	55	4	2	11	3	2	4	4	1	1	4	102	111	141	43	11	24	11	5	9	1	1	11	160	1	1	10	6	4	2	0	16	3	0	8	2	3	0	2	6	7	3	7	2	1	2	2	10	5	1	5	1	8	35	5	8	2	1	42	29	13	28	3	2	0	7	2	3	0	18	1	3	7	4	6	7	0	15	0	5	3	39	13	8	13	1	7	12	1	7	4	2	161	190	29	13	14	21	9	3	2	1	13	0	4	27	3	7	4	56	50	6	7	45	40	0	8	36	7	2	0	43	10	10	6	3	2	4	7	0
Jeremy Zawodny's blog	1	6	3	8	1	5	4	132	4	1	5	17	7	5	0	6	39	23	4	3	23	8	3	11	2	0	20	0	0	2	6	3	8	8	3	29	4	3	1	1	24	5	21	24	155	0	5	0	3	0	1	1	14	2	0	1	1	12	2	7	4	10	2	2	13	25	8	2	9	24	28	6	5	0	0	2	4	5	20	6	2	2	1	1	2	6	3	7	1	5	0	3	6	13	11	16	7	26	4	15	6	4	62	269	2	2	0	13	65	0	0	16	4	9	5	2	0	88	0	7	2	1	1	3	4	22	13	7	36	0	16	139	1	7	1	2	3	6	4	0	6	1	0	0	22	1	9	0	1	2	4	3	4	5	2	106	7	0	1	4	8	3	3	12	2	2	2	1	6	2	1	29	70	63	18	4	9	2	25	1	16	7	5	0	3	3	13	2	24	0	0	16	2	0	2	1	3	0	0	4	6	3	2	6	0	2	0	8	0	3	0	0	11	0	16	8	8	0	23	17	15	25	0	1	0	8	21	2	5	9	5	8	1	0	4	5	6	1	0	3	0	6	1	5	16	0	3	2	1	4	1	3	53	101	23	19	12	0	1	2	1	0	2	10	0	12	10	2	2	10	15	13	7	22	8	0	13	9	5	5	9	12	1	8	5	6	6	0	7	1
Captain's Quarters	0	0	0	1	1	0	2	12	0	0	0	3	7	0	0	0	7	1	0	0	0	2	0	1	0	0	1	0	0	0	0	1	0	0	0	4	0	0	1	1	4	1	3	5	22	0	0	1	0	0	0	0	3	0	3	0	0	0	0	2	0	0	0	0	0	4	4	0	2	1	2	1	0	0	0	0	0	1	1	0	0	0	1	3	1	2	0	0	1	1	0	0	1	0	2	0	0	2	1	0	0	0	1	49	0	1	2	0	1	0	0	1	1	3	0	0	1	9	0	1	1	0	0	0	0	1	0	0	2	0	0	20	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	3	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	14	1	0	0	0	1	0	2	3	0	0	0	0	2	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	2	0	2	1	2	0	3	1	1	0	1	1	2	1	0	1	1	1	0	0	0	1	0	0	0	0	1	2	0	1	2	0	1	0	0	1	0	1	13	20	0	0	0	0	2	0	0	2	0	6	1	0	0	0	0	1	3	1	0	0	4	0	6	0	1	0	6	5	0	2	0	0	0	0	0	0
ThinkProgress	0	0	0	2	0	0	1	24	2	1	1	1	10	2	1	3	26	0	0	0	2	2	1	2	0	0	3	0	3	0	1	1	1	0	2	25	1	1	0	2	11	5	7	8	38	1	0	0	0	0	1	0	2	0	3	0	0	0	0	0	1	0	0	2	5	4	7	0	2	0	0	0	1	0	0	0	0	1	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	4	0	1	5	1	1	1	1	0	90	0	3	2	0	5	0	0	2	1	6	1	4	1	20	0	0	2	1	0	0	1	9	2	0	2	0	1	40	1	3	0	2	0	0	0	0	2	1	0	0	2	3	0	0	0	1	0	0	0	0	1	1	0	2	0	4	9	1	0	1	0	0	0	1	0	3	4	24	4	20	1	0	5	0	1	1	0	1	2	0	0	0	3	0	4	0	0	2	1	2	4	0	1	0	2	1	3	0	1	1	5	1	0	2	0	0	0	1	0	0	0	0	2	0	8	4	7	4	0	0	1	3	0	0	2	3	2	0	0	2	1	0	0	1	6	0	1	5	0	3	0	1	1	1	0	2	0	0	15	36	7	1	0	0	0	1	0	0	0	5	0	6	0	0	0	0	8	1	1	0	4	0	4	6	5	1	8	10	0	4	1	5	0	0	1	0
blog maverick	0	0	2	3	0	0	1	10	0	0	0	0	1	1	0	1	4	0	0	0	2	1	0	0	0	0	3	0	0	0	0	1	0	3	0	3	0	1	1	0	4	4	2	1	22	0	0	0	0	0	1	0	1	1	0	0	1	1	1	0	0	0	0	2	0	3	1	0	1	1	2	1	0	0	0	0	0	1	2	2	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	1	1	2	0	8	0	0	3	39	1	1	0	1	6	0	0	1	0	5	0	0	0	9	0	1	0	0	0	0	0	6	2	1	5	0	0	17	0	0	0	1	0	0	1	1	2	0	0	2	0	2	2	2	0	1	0	0	0	0	0	17	0	0	0	0	1	0	0	1	1	0	0	2	2	0	0	13	9	12	2	1	1	0	0	0	3	0	0	0	0	2	2	0	0	0	0	4	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	1	3	2	0	1	6	1	5	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	4	0	0	0	1	6	17	2	0	3	0	0	0	1	0	0	1	0	5	1	0	1	0	2	0	0	1	4	0	2	1	2	0	4	1	0	2	5	1	1	1	2	0
gapingvoid: "cartoons drawn on the back of business cards"	1	6	0	2	3	3	0	5	0	0	0	1	0	0	0	0	9	0	0	0	0	2	1	0	0	0	11	0	1	0	1	0	1	0	0	5	0	1	0	0	4	4	0	1	19	2	1	0	0	0	1	0	1	0	1	0	0	0	5	1	1	2	0	2	1	0	0	0	0	6	0	2	0	2	0	0	0	0	7	0	0	1	0	0	0	0	0	2	0	1	0	1	0	1	1	2	0	0	1	1	0	0	1	30	0	0	0	0	3	2	0	1	1	0	3	2	0	3	0	0	0	1	0	0	0	1	1	0	5	0	3	5	0	2	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	22	2	1	4	0	2	0	0	0	0	0	0	1	1	0	2	1	3	9	2	1	4	0	1	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	1	0	1	2	2	0	0	0	0	0	5	0	1	1	1	1	2	1	1	0	0	0	0	0	0	2	0	0	2	0	3	0	0	0	0	1	18	11	0	1	2	0	0	0	2	1	1	2	0	2	0	0	0	1	5	0	0	0	1	2	0	2	0	0	3	0	0	1	1	0	0	1	1	4
Topix Blog	0	0	2	6	0	0	0	16	0	1	0	0	4	0	0	4	3	1	0	1	0	0	0	0	0	0	3	0	0	0	0	2	0	0	1	4	1	4	0	0	8	5	5	3	24	0	0	0	0	0	0	0	1	0	1	2	1	1	1	0	1	1	0	1	0	4	1	0	0	3	2	0	0	0	0	0	1	0	2	1	0	0	0	0	2	0	0	1	2	0	0	0	0	1	0	0	1	3	0	2	1	0	3	36	0	1	0	0	2	0	0	1	0	1	2	4	2	7	4	0	2	0	0	0	1	0	3	0	3	1	1	17	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	1	0	0	0	1	0	0	1	0	0	2	7	4	18	0	3	5	0	0	0	1	0	0	13	0	2	1	0	2	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	2	0	5	3	0	0	2	2	0	1	0	2	1	0	0	0	1	0	1	0	0	0	5	1	0	0	2	1	1	0	0	1	0	0	7	15	2	0	3	0	0	2	0	0	0	1	1	11	0	0	0	0	6	0	1	6	2	0	3	0	0	1	2	1	0	1	0	0	0	1	0	0
Search Engine Watch - Latest	0	6	1	6	0	4	1	20	1	0	1	1	8	0	0	3	9	0	1	0	2	0	0	0	0	1	2	0	0	0	0	0	2	1	1	17	1	1	1	3	3	2	1	4	34	0	0	0	0	0	4	1	2	1	2	1	0	0	1	1	0	0	0	0	0	2	2	1	1	2	0	0	1	0	0	0	0	1	4	0	1	0	2	0	2	0	1	0	1	0	3	1	2	0	0	0	2	2	1	4	0	2	0	36	0	1	0	1	3	3	0	5	1	0	3	0	0	9	0	0	0	2	1	0	0	5	10	0	10	0	0	25	0	0	1	0	0	0	0	0	2	0	0	0	2	0	0	2	1	0	0	0	5	0	0	0	0	0	2	0	6	0	0	2	2	0	1	2	0	1	1	17	8	18	2	2	1	1	0	0	0	0	2	0	0	1	0	0	1	1	0	1	0	1	0	0	1	0	1	2	1	1	1	1	0	1	1	1	1	0	3	2	0	17	2	1	0	0	3	0	0	4	0	0	2	0	0	0	0	0	1	0	0	1	3	2	0	1	0	0	0	2	8	0	1	0	1	0	1	0	1	2	6	23	6	0	2	0	0	0	0	0	0	0	0	4	0	0	1	0	1	1	0	0	3	0	2	2	1	3	0	2	2	0	0	1	0	0	0	0
Autoblog	6	3	1	5	15	4	9	85	4	2	2	7	19	3	1	0	54	10	0	2	10	10	3	5	0	0	24	1	0	1	1	6	1	3	3	57	3	3	9	0	26	16	28	24	106	3	1	2	5	2	0	1	11	15	27	0	1	1	2	7	1	23	1	9	6	24	9	2	6	11	21	2	2	11	1	2	4	7	55	3	1	3	1	0	1	1	21	3	0	7	0	0	2	0	8	2	1	6	2	7	5	3	18	297	0	0	0	4	22	5	2	6	6	12	4	20	6	45	0	11	3	2	0	4	0	14	3	2	23	2	1	109	4	7	1	1	0	3	5	1	8	5	2	0	9	0	0	1	1	0	2	1	0	5	0	11	7	1	0	9	21	0	1	2	1	1	1	3	12	5	4	32	40	78	6	6	11	5	9	1	1	2	2	80	1	2	5	1	10	18	12	3	2	5	3	3	1	0	1	2	9	2	3	0	0	0	2	7	1	1	0	7	2	0	3	3	1	2	16	6	10	17	20	0	1	7	5	1	3	7	0	1	0	2	4	2	3	1	0	0	2	7	0	6	3	4	1	3	1	1	3	4	79	141	3	8	13	4	0	0	1	0	3	8	0	23	3	0	4	21	31	4	1	25	15	8	6	3	3	4	4	21	1	7	2	1	1	3	4	0
Gawker	6	1	1	1	1	2	2	22	1	0	0	1	5	1	6	1	9	1	0	0	0	1	0	1	1	3	5	0	3	1	2	2	0	2	0	16	0	4	1	3	8	7	7	10	26	0	0	0	1	2	1	0	26	1	1	0	3	1	0	1	0	1	0	0	0	4	9	1	2	4	1	2	0	1	1	2	0	0	7	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	4	2	2	5	0	2	1	0	2	51	1	1	0	0	11	1	0	0	6	4	2	6	2	9	0	0	0	1	1	0	0	8	1	0	10	0	0	33	2	0	0	0	0	2	0	0	2	2	0	0	2	2	0	5	2	0	1	2	0	0	4	4	1	1	1	0	8	5	1	2	0	0	1	2	1	1	4	15	7	29	2	0	1	0	0	0	0	1	0	0	0	0	5	0	5	2	1	1	0	2	1	0	0	1	0	0	7	1	1	1	0	0	1	1	0	0	0	0	0	3	3	0	1	1	5	2	1	4	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	3	0	5	3	0	3	2	1	4	1	0	1	1	0	15	17	3	1	4	0	0	0	0	0	0	3	2	12	0	1	0	2	5	0	0	1	3	4	6	4	9	4	7	5	0	2	4	1	0	0	2	0
Google Blogoscoped	0	2	2	5	0	5	1	40	4	0	1	3	1	1	0	3	16	4	2	0	7	1	0	0	0	0	12	2	0	1	0	1	2	1	0	15	0	2	1	0	6	5	12	7	36	0	1	2	2	0	0	2	4	0	1	2	0	0	5	2	1	4	0	0	2	4	4	0	3	3	1	1	0	0	2	0	1	1	6	0	2	1	1	0	4	0	0	4	4	0	4	0	1	1	0	3	4	7	2	6	3	0	12	70	0	2	0	1	6	0	1	10	0	5	4	0	0	13	1	2	0	1	0	2	3	11	8	0	36	0	1	43	2	0	0	0	1	2	2	1	1	2	0	2	3	0	1	0	0	0	0	1	0	2	0	18	2	0	0	4	8	0	1	0	0	0	0	4	2	2	0	10	14	23	6	3	6	1	1	0	4	1	1	0	1	0	2	0	1	1	0	5	0	0	3	2	1	0	0	0	2	0	1	0	0	3	0	3	1	1	4	0	0	28	3	6	3	0	5	6	9	10	0	1	2	11	7	0	0	1	3	0	2	0	1	2	1	3	0	0	1	4	1	6	4	1	1	3	1	0	0	1	17	34	7	5	5	0	0	0	1	0	0	1	1	6	1	1	3	3	7	1	2	3	2	0	4	5	5	0	2	1	0	4	2	5	0	0	2	0
Deadspin	7	12	3	9	3	16	8	161	5	2	3	13	24	12	9	11	56	13	2	2	24	8	4	2	1	1	23	2	1	2	3	4	5	6	6	153	5	4	15	12	60	25	49	30	208	2	0	3	1	1	0	0	14	2	5	7	4	7	1	19	1	13	0	14	5	31	26	4	9	34	2	1	3	5	7	4	6	5	56	3	2	4	1	2	15	3	1	4	0	16	0	8	4	5	14	8	10	36	5	32	21	6	35	416	8	3	2	12	50	3	5	25	10	29	13	11	1	98	0	11	7	9	9	1	3	42	14	4	53	2	4	251	3	6	4	2	12	2	2	6	5	4	9	18	7	5	7	0	4	0	20	4	2	3	11	49	6	1	4	21	18	4	5	19	2	2	2	12	46	9	8	103	82	118	21	3	30	2	10	2	8	7	2	0	5	3	10	9	13	7	0	23	3	4	2	2	3	4	6	0	28	3	4	5	2	2	4	5	0	2	0	3	2	1	20	14	4	1	32	27	24	41	3	9	0	6	9	2	2	10	2	6	3	2	4	9	3	5	17	1	1	10	3	26	12	6	6	6	9	8	4	2	61	126	17	20	25	4	2	2	1	3	1	50	5	31	3	3	3	3	42	3	4	9	33	1	15	14	16	8	71	18	6	4	10	9	3	3	4	2
kottke.org	2	14	1	12	5	4	10	129	4	4	6	13	17	2	7	6	56	24	1	2	14	18	1	6	1	0	33	0	3	2	3	1	7	6	6	77	3	4	8	1	39	21	27	30	141	3	0	9	2	4	2	11	7	0	7	1	5	4	2	3	9	8	4	9	3	39	25	2	12	5	1	3	0	15	1	1	2	5	41	3	2	0	3	2	4	5	6	10	3	5	2	1	4	8	5	5	13	28	2	13	4	1	15	297	0	4	3	7	36	3	1	20	6	13	5	12	5	60	3	6	1	9	5	3	6	22	7	1	45	0	4	175	3	1	1	1	0	2	0	7	4	8	1	3	9	3	4	5	2	2	16	1	5	2	3	68	12	2	0	5	12	7	8	5	3	2	5	3	4	15	3	51	52	95	18	8	11	5	1	1	12	2	2	142	5	3	6	4	10	2	1	10	1	0	7	2	3	2	2	1	4	1	10	4	9	2	2	7	5	1	0	5	1	0	7	8	6	0	38	16	18	25	2	10	2	14	25	2	4	7	3	2	1	4	1	2	3	1	0	1	0	10	5	10	14	3	2	7	3	3	5	1	38	166	29	9	11	2	2	7	4	6	2	31	5	25	10	5	5	3	43	6	8	5	11	4	16	13	19	2	41	11	4	8	2	4	1	6	6	9
O'Reilly Radar	6	0	0	2	0	0	1	4	0	0	0	0	2	0	0	0	4	1	0	0	1	0	0	0	3	1	4	2	0	2	0	0	0	0	0	4	0	0	1	1	1	6	4	1	8	0	0	0	0	0	2	3	3	0	1	0	1	0	0	0	0	0	0	0	0	1	2	0	1	1	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	2	1	0	1	24	0	0	0	0	1	0	0	1	0	0	0	0	0	3	0	0	1	1	0	0	3	1	0	0	1	0	0	7	0	0	0	0	0	0	1	0	0	0	6	0	0	1	0	3	0	0	0	2	3	0	0	2	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	5	5	9	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	2	0	0	6	0	0	0	0	1	0	4	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	2	0	0	6	9	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	5	0	0	0	1	1	0	0	0	0	0	0	1	0	3	1	0	0	0	0
Lifehack	0	5	3	14	0	4	2	12	0	4	1	0	1	2	0	2	9	9	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	3	0	0	0	0	9	0	2	1	31	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	6	3	0	0	3	0	0	0	0	0	2	1	0	1	0	0	0	0	0	9	3	0	0	0	0	0	0	0	1	0	0	1	1	0	1	2	0	1	53	0	25	0	0	0	0	0	8	0	0	2	0	0	6	0	0	0	1	1	0	0	5	15	0	25	0	0	11	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	0	0	3	0	0	0	1	0	1	0	0	0	3	2	0	0	0	1	0	0	1	0	0	0	9	3	13	3	6	2	0	0	0	0	0	2	0	3	1	25	0	0	1	0	2	0	0	0	0	0	3	0	0	1	0	0	1	3	0	0	0	0	0	2	0	0	0	2	0	6	0	5	1	1	2	0	0	0	0	0	4	0	1	0	0	0	0	4	1	0	1	0	0	1	1	2	0	3	0	0	0	1	0	1	0	31	17	1	0	0	0	0	0	1	0	0	0	0	8	0	0	2	3	2	1	0	1	0	0	2	1	1	2	0	3	0	1	0	0	0	1	1	2
Lifehacker	0	5	1	5	0	2	1	41	1	0	1	1	1	2	2	1	16	3	0	1	7	2	2	0	0	0	5	0	0	0	1	1	0	2	2	11	0	0	1	0	22	8	7	7	53	0	0	0	1	0	2	0	33	1	2	0	0	0	0	3	0	3	0	1	2	9	2	0	3	5	4	1	0	0	1	4	2	0	4	0	0	1	1	0	5	0	2	3	0	1	3	0	7	0	1	1	7	5	1	2	8	0	13	34	0	3	0	6	2	0	0	17	1	1	5	1	0	16	1	3	2	4	1	1	1	14	28	2	31	1	1	36	0	0	1	0	1	0	1	2	0	1	0	0	2	3	0	9	0	2	0	1	0	2	0	7	3	1	1	2	5	0	0	0	0	0	1	5	1	0	1	16	11	17	4	2	9	1	2	0	1	1	3	0	0	1	0	1	0	1	0	4	2	0	1	0	0	2	0	2	1	0	0	2	1	0	0	0	1	2	0	0	0	3	2	2	5	1	9	7	3	10	0	3	1	2	2	1	0	2	1	1	0	1	2	0	0	2	0	0	4	0	0	1	6	0	2	3	1	1	3	0	17	21	7	1	6	0	0	0	0	0	3	0	0	5	0	0	2	1	3	0	1	9	5	0	1	0	1	3	0	0	2	3	3	0	1	2	1	1
Gizmodo	0	3	3	1	0	6	2	36	1	2	0	1	4	0	0	4	20	3	2	0	4	1	1	1	1	0	7	0	0	0	0	3	0	2	2	37	1	0	5	0	3	6	7	9	37	0	0	0	0	0	0	2	28	0	7	2	0	0	0	2	0	4	0	3	5	6	4	0	4	5	1	1	0	1	1	0	1	2	13	2	0	2	1	0	2	3	1	3	0	3	0	1	1	3	1	2	5	7	0	8	0	0	10	58	2	1	1	2	1	0	0	4	3	8	1	1	1	14	0	1	1	2	2	0	3	11	14	1	19	1	3	46	1	0	3	0	1	3	1	5	2	1	0	2	6	1	0	0	2	1	0	0	0	4	0	1	2	0	3	2	4	0	2	2	1	0	2	2	2	0	2	19	26	15	8	4	6	0	1	1	0	3	1	0	3	1	1	5	2	0	2	7	1	0	0	1	1	2	0	0	0	0	2	3	1	1	0	3	2	1	0	2	2	10	1	2	1	2	4	8	4	11	0	0	1	1	0	1	0	5	0	1	2	0	1	1	0	1	0	0	1	2	0	0	7	2	2	0	0	1	1	0	12	34	5	4	6	1	0	3	0	0	0	2	0	5	1	0	0	4	2	1	0	1	4	0	3	2	2	1	1	5	1	1	0	0	2	3	2	0
TUAW - The Unofficial Apple Weblog	2	8	14	6	2	21	14	300	3	1	4	4	37	9	3	5	236	25	3	4	25	1	3	2	0	0	35	5	1	2	3	6	3	8	6	116	5	11	7	1	98	58	66	33	236	0	5	3	3	3	3	10	38	12	30	2	4	19	10	20	8	59	16	7	12	42	22	3	20	34	17	1	3	14	1	8	3	3	89	4	3	6	2	2	7	2	42	10	2	10	0	3	8	3	10	15	22	10	4	25	17	5	17	526	1	3	9	10	20	14	16	52	8	24	56	8	3	129	4	12	4	12	4	6	11	35	78	10	147	2	11	280	2	6	4	1	29	3	7	7	14	8	10	35	26	11	5	6	4	5	0	2	5	7	5	57	17	3	0	11	55	3	1	5	7	0	6	11	3	1	8	141	118	134	36	10	23	5	48	3	6	3	7	240	1	11	16	13	4	8	2	17	1	8	15	11	7	2	4	4	16	4	8	7	2	3	15	11	5	4	41	8	6	26	5	10	6	6	34	23	16	42	0	1	0	8	13	8	10	14	4	3	64	1	4	1	3	6	0	3	5	18	6	5	24	7	8	10	4	5	4	3	194	261	56	19	23	31	4	4	2	2	7	8	3	54	13	5	4	57	81	9	5	51	21	1	16	25	7	0	10	33	2	22	5	1	3	11	6	4
Steve Pavlina's Personal Development Blog	0	0	1	1	3	2	2	13	0	2	0	0	4	1	0	0	13	3	0	2	6	1	0	0	0	0	2	1	1	0	0	0	1	2	2	9	1	1	0	0	5	3	1	2	25	0	1	1	0	0	0	0	5	0	0	1	0	0	0	1	0	0	1	1	1	0	1	0	1	6	1	0	0	3	2	0	0	0	11	0	0	1	1	0	1	1	0	3	1	1	1	0	3	0	0	0	0	1	1	2	2	0	3	25	0	1	0	1	3	0	0	4	0	0	3	7	1	7	2	0	0	0	0	10	0	6	9	0	25	0	1	25	0	0	0	0	0	0	0	0	2	0	0	1	4	0	0	0	0	0	0	1	1	0	0	13	0	0	0	0	1	2	0	1	0	0	0	3	1	0	1	6	12	13	1	6	1	1	1	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	1	0	0	0	0	2	1	2	1	0	1	0	1	2	0	0	0	0	0	2	0	4	0	2	3	3	6	0	1	0	0	2	0	1	1	3	0	3	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	2	1	7	15	4	1	1	0	0	0	0	0	0	0	0	5	1	2	2	0	1	1	0	3	1	0	3	1	0	2	0	0	1	0	2	1	1	0	0	0
TMZ.com	0	3	0	0	0	1	1	13	0	1	0	0	14	3	5	2	10	1	1	0	1	1	0	0	0	2	3	0	1	0	0	0	1	1	0	20	0	2	0	5	9	1	3	6	20	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	2	0	1	1	5	2	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	1	0	2	0	3	0	0	0	1	8	0	0	2	1	1	0	0	6	39	2	0	0	1	9	0	2	2	2	2	2	4	0	5	0	1	0	0	0	0	0	3	3	2	3	0	0	26	0	0	0	3	0	0	0	0	2	0	0	0	2	0	1	0	0	0	4	0	0	0	4	3	0	0	0	0	6	1	0	0	0	1	0	1	0	0	0	8	5	17	2	0	2	0	2	1	1	0	1	0	0	0	0	0	1	1	3	1	0	3	0	0	2	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	5	3	0	0	3	0	1	1	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	13	0	0	5	0	0	3	3	0	0	0	0	0	0	7	14	0	1	2	0	1	0	0	0	2	15	0	3	0	1	0	0	2	1	0	0	4	0	1	2	5	0	15	1	0	0	0	3	1	0	0	1
